F K {'rel_weight': 0.9508323293188583, 'rel_center': 0.9970578305542344, 'rel_inertia': 0.9975038079927663}
F L {'rel_weight': 0.9940340450780916, 'rel_center': 0.9921896094878849, 'rel_inertia': 0.9990635889356672}
F M {'rel_weight': 0.9228000774577988, 'rel_center': 0.9864063597485121, 'rel_inertia': 0.9930134536046963}
F N {'rel_weight': 0.9881008988044505, 'rel_center': 0.9947603451493248, 'rel_inertia': 0.9988110072890141}
F O {'rel_weight': 0.9563813662501934, 'rel_center': 0.9950180035711238, 'rel_inertia': 0.9960090291025295}
F Ö {'rel_weight': 0.9400436191424653, 'rel_center': 0.9883944511538957, 'rel_inertia': 0.9941099919005314}
F P {'rel_weight': 0.9848651218696036, 'rel_center': 0.9954107155420289, 'rel_inertia': 0.9990949623697319}
F R {'rel_weight': 0.9416991329230846, 'rel_center': 0.9967076032428347, 'rel_inertia': 0.9975113154793386}
F S {'rel_weight': 0.9997112867803165, 'rel_center': 0.9943205358197115, 'rel_inertia': 0.9992420332533561}
F Ş {'rel_weight': 0.9901911939820002, 'rel_center': 0.9919710067642137, 'rel_inertia': 0.9998951025244792}
F T {'rel_weight': 0.9970217736518693, 'rel_center': 0.9951144596586687, 'rel_inertia': 0.9991622598033633}
F U {'rel_weight': 0.997434763537269, 'rel_center': 0.9972602287639273, 'rel_inertia': 0.9988271960758128}
F Ü {'rel_weight': 0.981105377610251, 'rel_center': 0.9928524474001709, 'rel_inertia': 0.9960960988889217}
F V {'rel_weight': 0.9884515634239156, 'rel_center': 0.9986707063071176, 'rel_inertia': 0.9996823614431367}
F Y {'rel_weight': 0.9972001455070202, 'rel_center': 0.9981701792476371, 'rel_inertia': 0.9999535363346388}
F Z {'rel_weight': 0.9837001306906493, 'rel_center': 0.9951641510300074, 'rel_inertia': 0.9990506740716754}
G A {'rel_weight': 0.9759619109611336, 'rel_center': 0.9908606493912976, 'rel_inertia': 0.9969907871362572}
G B {'rel_weight': 0.9637874208411746, 'rel_center': 0.9920768526134611, 'rel_inertia': 0.9981907882321667}
G C {'rel_weight': 0.9794986904015477, 'rel_center': 0.9955761326664496, 'rel_inertia': 0.9988425071971094}
G Ç {'rel_weight': 0.9896017837597044, 'rel_center': 0.9954317476362187, 'rel_inertia': 0.9985221482875583}
G D {'rel_weight': 0.9664462763070178, 'rel_center': 0.9928665307355586, 'rel_inertia': 0.9986553301977599}
G E {'rel_weight': 0.9991189834622376, 'rel_center': 0.9970685886493518, 'rel_inertia': 0.9979347208741919}
G F {'rel_weight': 0.9864747021740901, 'rel_center': 0.995427179963759, 'rel_inertia': 0.9974145187558545}
G G {'rel_weight': 0.9943113045538733, 'rel_center': 0.9992698559606871, 'rel_inertia': 0.9995083697138925}
G Ğ {'rel_weight': 0.9796541547688951, 'rel_center': 0.9914401608713146, 'rel_inertia': 0.9963909968107802}
G H {'rel_weight': 0.9525221233643003, 'rel_center': 0.99112073575539, 'rel_inertia': 0.9977672413126842}
